date,time,code,open,high,low,close,volume,amount,adjustflag
2022-07-01,20220701135000000,sh.600000,7.9900,8.0000,7.9900,7.9900,248000,1981682.0000,3
2022-07-01,20220701135500000,sh.600000,7.9900,7.9900,7.9800,7.9900,249000,1987901.0000,3
2022-07-01,20220701140000000,sh.600000,7.9900,7.9900,7.9800,7.9900,245700,1962434.0000,3
2022-07-01,20220701140500000,sh.600000,7.9900,8.0000,7.9800,7.9800,401349,3206621.0000,3
2022-07-01,20220701141000000,sh.600000,7.9800,7.9900,7.9800,7.9900,206500,1649028.0000,3
2022-07-01,20220701141500000,sh.600000,7.9800,8.0000,7.9800,7.9800,317300,2532980.0000,3
2022-07-01,20220701142000000,sh.600000,7.9900,8.0000,7.9800,7.9900,245200,1959066.0000,3
2022-07-01,20220701142500000,sh.600000,7.9900,8.0000,7.9900,7.9900,92000,735196.0000,3
2022-07-01,20220701143000000,sh.600000,8.0000,8.0000,7.9800,8.0000,268872,2148477.0000,3
2022-07-01,20220701143500000,sh.600000,8.0000,8.0000,7.9800,7.9800,468728,3741567.0000,3
2022-07-01,20220701144000000,sh.600000,7.9800,7.9900,7.9800,7.9800,214800,1714656.0000,3
2022-07-01,20220701144500000,sh.600000,7.9900,7.9900,7.9800,7.9900,226273,1806563.0000,3
2022-07-01,20220701145000000,sh.600000,7.9900,7.9900,7.9800,7.9900,1073646,8576000.0000,3
2022-07-01,20220701145500000,sh.600000,7.9800,7.9900,7.9800,7.9800,978100,7808148.0000,3
2022-07-01,20220701150000000,sh.600000,7.9800,7.9900,7.9800,7.9900,366500,2926622.0000,3
2022-07-04,20220704093500000,sh.600000,7.9900,8.0000,7.9600,7.9700,1749014,13953906.0000,3
2022-07-04,20220704094000000,sh.600000,7.9800,7.9800,7.9600,7.9600,854900,6814620.0000,3
2022-07-04,20220704094500000,sh.600000,7.9600,7.9700,7.9500,7.9600,984186,7834316.0000,3
2022-07-04,20220704095000000,sh.600000,7.9600,7.9600,7.9500,7.9600,590900,4701702.0000,3
2022-07-04,20220704095500000,sh.600000,7.9600,7.9600,7.9500,7.9500,309270,2460803.0000,3
2022-07-04,20220704100000000,sh.600000,7.9500,7.9600,7.9400,7.9500,1177030,9357726.0000,3
2022-07-04,20220704100500000,sh.600000,7.9500,7.9600,7.9400,7.9500,487672,3878625.0000,3
2022-07-04,20220704101000000,sh.600000,7.9500,7.9600,7.9500,7.9500,584171,4644854.0000,3
2022-07-04,20220704101500000,sh.600000,7.9500,7.9600,7.9500,7.9500,178800,1421924.0000,3
2022-07-04,20220704102000000,sh.600000,7.9600,7.9700,7.9500,7.9600,435900,3469680.0000,3
2022-07-04,20220704102500000,sh.600000,7.9600,7.9600,7.9500,7.9500,117900,938198.0000,3
2022-07-04,20220704103000000,sh.600000,7.9500,7.9600,7.9500,7.9600,284000,2258298.0000,3
2022-07-04,20220704103500000,sh.600000,7.9600,7.9700,7.9500,7.9600,444300,3536977.0000,3
2022-07-04,20220704104000000,sh.600000,7.9600,7.9700,7.9500,7.9600,259100,2062075.0000,3
2022-07-04,20220704104500000,sh.600000,7.9600,7.9700,7.9500,7.9700,151444,1205338.0000,3
2022-07-04,20220704105000000,sh.600000,7.9700,7.9700,7.9500,7.9600,167700,1335176.0000,3
2022-07-04,20220704105500000,sh.600000,7.9600,7.9700,7.9500,7.9500,180800,1439434.0000,3
2022-07-04,20220704110000000,sh.600000,7.9600,7.9600,7.9500,7.9600,102900,818699.0000,3
2022-07-04,20220704110500000,sh.600000,7.9600,7.9600,7.9500,7.9600,57600,458136.0000,3
2022-07-04,20220704111000000,sh.600000,7.9600,7.9600,7.9500,7.9600,164700,1310588.0000,3
2022-07-04,20220704111500000,sh.600000,7.9600,7.9600,7.9500,7.9600,102400,814858.0000,3
2022-07-04,20220704112000000,sh.600000,7.9600,7.9600,7.9500,7.9600,160300,1275452.0000,3
2022-07-04,20220704112500000,sh.600000,7.9500,7.9700,7.9500,7.9500,258500,2057394.0000,3
2022-07-04,20220704113000000,sh.600000,7.9500,7.9700,7.9500,7.9600,354100,2815791.0000,3
2022-07-04,20220704130500000,sh.600000,7.9700,7.9700,7.9600,7.9700,147550,1175152.0000,3
2022-07-04,20220704131000000,sh.600000,7.9700,7.9700,7.9600,7.9600,144019,1147270.0000,3
2022-07-04,20220704131500000,sh.600000,7.9600,7.9700,7.9600,7.9700,61600,490662.0000,3
2022-07-04,20220704132000000,sh.600000,7.9600,7.9700,7.9500,7.9600,443204,3527088.0000,3
2022-07-04,20220704132500000,sh.600000,7.9600,7.9700,7.9500,7.9600,319869,2545986.0000,3
2022-07-04,20220704133000000,sh.600000,7.9600,7.9700,7.9600,7.9600,133859,1065837.0000,3
2022-07-04,20220704133500000,sh.600000,7.9600,7.9700,7.9600,7.9700,125700,1001315.0000,3
2022-07-04,20220704134000000,sh.600000,7.9700,7.9700,7.9600,7.9600,154200,1228227.0000,3
2022-07-04,20220704134500000,sh.600000,7.9600,7.9700,7.9600,7.9700,103500,824192.0000,3
2022-07-04,20220704135000000,sh.600000,7.9700,7.9700,7.9600,7.9600,617041,4912197.0000,3
2022-07-04,20220704135500000,sh.600000,7.9600,7.9700,7.9500,7.9700,484900,3859347.0000,3
2022-07-04,20220704140000000,sh.600000,7.9700,7.9700,7.9500,7.9600,302562,2407374.0000,3
2022-07-04,20220704140500000,sh.600000,7.9600,7.9600,7.9500,7.9600,384800,3060796.0000,3
2022-07-04,20220704141000000,sh.600000,7.9600,7.9600,7.9500,7.9500,136300,1084443.0000,3
2022-07-04,20220704141500000,sh.600000,7.9500,7.9700,7.9500,7.9600,325100,2587567.0000,3
2022-07-04,20220704142000000,sh.600000,7.9600,7.9600,7.9500,7.9600,271100,2156768.0000,3
2022-07-04,20220704142500000,sh.600000,7.9500,7.9600,7.9500,7.9600,360500,2867170.0000,3
